time,round,nbMessages
469,289,293710
300,289,253474
344,289,272164
463,289,277366
365,289,270804
896,289,275510
576,289,255076
641,289,260332
464,289,253762
488,289,290390
820,289,280876
604,289,261792
580,289,272650
461,289,259844
665,289,269086
448,289,259750
630,289,306784
376,289,258576
343,289,256974
425,289,258434
300,289,242234
492,289,283280
470,289,258284
531,289,262226
467,289,269818
560,289,292478
701,289,261352
669,289,309774
555,289,252164
534,289,260034
649,289,294118
584,289,291600
617,289,276530
645,289,264418
516,299,312449
522,299,344013
545,299,277230
490,299,268474
598,299,281021
470,299,281476
736,299,297782
449,299,267582
552,299,322737
416,299,257032
597,299,308186
633,299,266080
421,299,278458
514,299,295737
740,299,277099
486,299,266227
558,299,279056
594,299,267739
497,299,351239
605,299,289324
696,299,291747
691,299,268492
543,299,273171
541,299,260793
572,299,286397
696,299,279515
620,299,295218
551,299,279356
606,299,321074
510,299,287533
333,299,251892
951,299,313284
494,299,294012
561,299,273777
498,299,304770
675,299,282082
586,299,285549
453,299,263205
570,299,278454
743,299,321994
650,299,280264
547,299,271067
740,299,332387
567,299,276642
656,299,281005
421,299,258379
504,299,285100
366,299,301351
347,299,272112
440,299,301101
527,299,295517
451,309,298752
665,309,292668
424,309,291734
469,309,295322
378,309,280668
419,309,291110
477,309,315598
360,309,289080
487,309,302806
349,309,275522
410,309,292198
626,309,338640
391,309,341372
385,309,285962
447,309,303274
399,309,287364
434,309,320738
319,309,277844
545,309,330260
479,309,293136
415,309,297970
433,309,299530
529,309,316280
414,309,322320
319,309,280666
419,309,328432
488,309,303118
340,309,287054
518,309,309204
431,309,296572
452,309,296258
445,309,304208
496,309,336560
328,309,278806
450,309,338886
396,309,338120
515,309,292980
337,309,289946
472,309,303740
713,309,342450
539,309,285342
452,309,287056
601,309,287832
531,309,290800
538,309,309358
443,309,273332
366,309,281910
487,309,288930
316,309,278010
506,309,302962
382,309,285334
405,319,299323
396,319,290627
348,319,296902
624,319,329255
407,319,297073
786,319,322813
685,319,311869
418,319,286938
491,319,296745
559,319,312994
577,319,316695
944,319,340042
593,319,297399
595,319,307528
370,319,286449
614,319,318144
740,319,326359
678,319,309778
466,319,315735
395,319,293529
585,319,388837
591,319,312191
677,319,319438
651,319,318629
683,319,328461
691,319,314606
564,319,316216
456,319,297065
459,319,314286
498,319,319919
406,319,299172
438,319,296264
435,319,312193
615,319,334168
731,319,326677
442,319,306079
483,319,294654
523,319,296095
494,319,299486
668,319,348290
600,319,305433
642,319,335371
606,319,314610
636,319,325067
592,319,329769
428,319,303666
441,319,317665
381,319,331305
555,319,324264
656,319,376482
440,319,338375
428,329,322722
464,329,334170
425,329,372938
542,329,341472
386,329,319730
442,329,328358
427,329,323548
428,329,332176
339,329,309446
502,329,328862
438,329,332344
466,329,334834
541,329,348276
441,329,314762
491,329,341810
487,329,336658
425,329,331512
459,329,333342
529,329,344794
670,329,397840
450,329,323060
416,329,337592
490,329,340980
471,329,364984
491,329,373104
535,329,350936
468,329,322398
537,329,381016
461,329,337492
584,329,326706
729,329,338488
687,329,329522
688,329,362220
626,329,329188
621,329,314256
639,329,428008
600,329,324048
663,329,343298
984,329,323716
680,329,337000
603,329,328692
588,329,337820
410,329,346770
624,329,370924
504,329,333504
523,329,335664
547,329,339646
600,329,331178
578,329,371798
859,329,401606
584,329,329186
683,339,367318
456,339,342356
506,339,347832
512,339,360311
583,339,363220
518,339,363669
611,339,365264
635,339,351250
819,339,342869
856,339,371420
873,339,363689
698,339,358766
892,339,404738
682,339,365779
740,339,391603
687,339,347146
463,339,342696
454,339,340813
542,339,357400
706,339,376039
588,339,405348
738,339,364409
514,339,349025
555,339,358599
553,339,354493
580,339,411504
677,339,345780
825,339,403443
497,339,354666
522,339,358603
784,339,389033
487,339,359279
415,339,338938
431,339,352439
453,339,344412
518,339,350047
466,339,344915
594,339,364238
522,339,368956
612,339,365779
483,339,347317
583,339,363047
507,339,350733
466,339,345945
537,339,366805
501,339,345436
423,339,337910
460,339,349711
664,339,376383
448,339,334673
503,339,345774
384,349,344634
443,349,338486
593,349,384746
426,349,344818
657,349,399990
687,349,439050
674,349,429882
628,349,402176
539,349,359760
490,349,376426
453,349,400000
564,349,417280
460,349,355188
503,349,363988
537,349,374010
479,349,364164
514,349,367854
567,349,377360
534,349,375770
520,349,383462
588,349,367862
595,349,382280
668,349,390908
586,349,397698
485,349,362394
643,349,388794
678,349,401640
552,349,379116
530,349,400810
586,349,376300
579,349,375598
506,349,359062
597,349,398376
530,349,377710
523,349,372776
438,349,354654
705,349,383690
441,349,360292
623,349,473412
560,349,379644
579,349,383868
870,349,390908
608,349,399342
748,349,428444
658,349,374010
